liaison,service,nb_circules,nb_annulation,nb_retard,nb_retard_sup_60,taux_retard,retard_moyen,taux_sup_60,taux_annulation,cause_Externe,cause_Infrastructure,cause_Gestion trafic,cause_Matériel roulant,cause_Gestion gare,cause_Voyageurs
ITALIE → PARIS LYON,INTERNATIONAL,6702,309,2190,270,32.67681289167413,38.687512243829225,4.028648164726947,4.4073598630723145,29.115644669362652,14.501051882520958,37.41872711052717,13.856817919280878,2.5992219329448174,2.5085364853635315
CHAMBERY CHALLES LES EAUX → PARIS LYON,NATIONAL,21185,719,5718,617,26.990795374085437,33.70887839580033,2.9124380457871135,3.2825054784514243,27.734671275995982,18.02981306471227,36.477950375143045,11.432364775137556,2.9299750441019907,3.395225464909167
MACON LOCHE → PARIS LYON,NATIONAL,21730,707,5683,552,26.15278416935113,31.754000234705615,2.540266912103083,3.1510451486384095,25.466981273579737,17.621294062368708,36.54648219756481,12.344549437947098,3.6566837104257037,4.364009318113931
LYON PART DIEU → LILLE,NATIONAL,27861,1231,7255,1036,26.039984207314887,36.667700112156766,3.718459495351926,4.231403822356661,18.63972708506697,17.271379617595688,27.752244953278222,16.15174835822424,8.378712225028773,11.806187760806111
LYON PART DIEU → MARNE LA VALLEE,NATIONAL,30120,1331,7541,874,25.036520584329345,32.44035515440594,2.901726427622842,4.231979905249435,16.317693975560317,17.027004406317864,29.692127713323874,16.78110162254142,9.54497297391715,10.637099308339376
PARIS EST → STUTTGART,INTERNATIONAL,12023,434,2763,311,22.98095317308492,35.243258887982385,2.5867088081177743,3.4839849080838086,43.51649079679258,8.56849117380094,19.07816130515884,18.356300865011413,5.9137464524035925,4.566809406832636
LYON PART DIEU → MARSEILLE ST CHARLES,NATIONAL,43800,1741,9732,1476,22.21917808219178,36.584316550978755,3.3698630136986303,3.8229287894424804,21.050014340271865,18.073199438841545,26.22702467923971,16.803123799158275,6.334514196580013,11.512123545908585
DOUAI → PARIS NORD,NATIONAL,16303,774,3568,167,21.885542538183156,18.43215153257156,1.0243513463779672,4.532412016162089,13.677678298139773,24.53196044999519,37.19730123176728,12.475784921722033,8.809367719317489,3.3079073790582365
ARRAS → PARIS NORD,NATIONAL,40284,1795,8730,464,21.67113494191242,19.613713249238376,1.1518220633502136,4.265785783882697,13.871141816402591,25.088029966167063,33.31544322499965,14.741378331595154,8.702136205783278,4.281870455052266
MARSEILLE ST CHARLES → LILLE,NATIONAL,18693,697,4048,718,21.655165035039854,42.51728768314322,3.8410100037447172,3.594636410520887,21.27684919497352,17.224521067404265,24.16101217164935,15.97325217707328,9.280602234280483,12.083763154619103
